Matrix,FD1,FD2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27
G11,24.1,21.7,19.7,16.7,15.5,14.0,12.0,9.0,6.0,3,0,3,6.0,9.0,12.0,15.0,18.0,22.0,25.0,28.0,31.0,34.0,37.0,40.0,43.0,46.0,49.0
G12,27.1,24.7,22.7,19.7,18.5,17.0,15.0,12.0,9.0,6.0,3,0,3,6.0,9.0,12.0,15.0,19.0,22.0,25.0,28.0,31.0,34.0,37.0,40.0,43.0,46.0
G13,30.1,27.7,25.7,22.7,21.5,20.0,18.0,15.0,12.0,9.0,6.0,3,0,3,6.0,9.0,12.0,16.0,19.0,22.0,25.0,28.0,31.0,34.0,37.0,40.0,43.0
G14,33.1,30.7,28.7,25.7,24.5,23.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0,3,6.0,9.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,34.0,37.0,40.0
G15,36.1,33.7,31.7,28.7,27.5,26.0,24.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0,3,6.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,34.0,37.0
G16,39.1,36.7,34.7,31.7,30.5,29.0,27.0,24.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0,3,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,34.0
G17,42.1,39.7,37.7,34.7,33.5,32.0,30.0,27.0,24.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0,4,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0
G18,46.1,43.7,41.7,38.7,37.5,36.0,34.0,31.0,28.0,25.0,22.0,19.0,16.0,13.0,10.0,7.0,4,0,3,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0
G19,49.1,46.7,44.7,41.7,40.5,39.0,37.0,34.0,31.0,28.0,25.0,22.0,19.0,16.0,13.0,10.0,7.0,3,0,3,6.0,9.0,12.0,15.0,18.0,21.0,24.0
G20,52.1,49.7,47.7,44.7,43.5,42.0,40.0,37.0,34.0,31.0,28.0,25.0,22.0,19.0,16.0,13.0,10.0,6.0,3,0,3,6.0,9.0,12.0,15.0,18.0,21.0
G21,55.1,52.7,50.7,47.7,46.5,45.0,43.0,40.0,37.0,34.0,31.0,28.0,25.0,22.0,19.0,16.0,13.0,9.0,6.0,3,0,3,6.0,9.0,12.0,15.0,18.0
G22,58.1,55.7,53.7,50.7,49.5,48.0,46.0,43.0,40.0,37.0,34.0,31.0,28.0,25.0,22.0,19.0,16.0,12.0,9.0,6.0,3,0,3,6.0,9.0,12.0,15.0
G23,61.1,58.7,56.7,53.7,52.5,51.0,49.0,46.0,43.0,40.0,37.0,34.0,31.0,28.0,25.0,22.0,19.0,15.0,12.0,9.0,6.0,3,0,3,6.0,9.0,12.0
G24,64.1,61.7,59.7,56.7,55.5,54.0,52.0,49.0,46.0,43.0,40.0,37.0,34.0,31.0,28.0,25.0,22.0,18.0,15.0,12.0,9.0,6.0,3,0,3,6.0,9.0
G25,67.1,64.7,62.7,59.7,58.5,57.0,55.0,52.0,49.0,46.0,43.0,40.0,37.0,34.0,31.0,28.0,25.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0,3,6.0
G26,70.1,67.7,65.7,62.7,61.5,60.0,58.0,55.0,52.0,49.0,46.0,43.0,40.0,37.0,34.0,31.0,28.0,24.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0,3
G27,73.1,70.7,68.7,65.7,64.5,63.0,61.0,58.0,55.0,52.0,49.0,46.0,43.0,40.0,37.0,34.0,31.0,27.0,24.0,21.0,18.0,15.0,12.0,9.0,6.0,3,0
